,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-07-09,158.0,158.75,155.320007,155.740005,154.948837,2238300.0,2238300.0,-2.26,-1.43,156.60334,"July 09, 20",-0.0143
2020-07-08,158.119995,159.380005,156.270004,158.559998,157.754501,2110700.0,2110700.0,0.44,0.278,158.07,"July 08, 20",0.00278
2020-07-07,154.270004,159.949997,154.130005,158.539993,157.734589,2582800.0,2582800.0,4.26999,2.768,157.54,"July 07, 20",0.02768
2020-07-06,157.899994,158.399994,153.660004,156.270004,155.476135,3015800.0,3015800.0,-1.62999,-1.032,156.11,"July 06, 20",-0.01032
2020-07-02,158.600006,159.720001,155.279999,155.479996,154.69014,4046900.0,4046900.0,-3.12001,-1.967,156.82667,"July 02, 20",-0.01967
2020-07-01,158.850006,163.649994,155.759995,156.660004,155.864151,17967500.0,17967500.0,-2.19,-1.379,158.69,"July 01, 20",-0.01379
2020-06-30,136.220001,140.75,134.919998,140.220001,139.507675,6473300.0,6473300.0,4.0,2.936,138.63,"June 30, 20",0.02936
2020-06-29,131.300003,134.729996,130.119995,134.550003,133.86647,2336200.0,2336200.0,3.25,2.475,133.13333,"June 29, 20",0.02475
2020-06-26,135.199997,135.380005,129.279999,130.080002,129.419174,3282000.0,3282000.0,-5.11999,-3.787,131.58,"June 26, 20",-0.03787
2020-06-25,133.720001,136.279999,132.229996,136.110001,134.771866,2310900.0,2310900.0,2.39,1.787,134.87333,"June 25, 20",0.01787
2020-06-24,137.649994,138.0,134.130005,135.089996,133.761871,2357300.0,2357300.0,-2.56,-1.86,135.74,"June 24, 20",-0.0186
2020-06-23,138.550003,139.839996,137.380005,139.070007,137.702744,1385200.0,1385200.0,0.52,0.375,138.76334,"June 23, 20",0.00375
2020-06-22,136.550003,137.75,135.199997,137.380005,136.029358,1448100.0,1448100.0,0.83,0.608,136.77667,"June 22, 20",0.00608
2020-06-19,140.759995,140.880005,135.619995,137.630005,136.276917,2828500.0,2828500.0,-3.12999,-2.224,138.04333,"June 19, 20",-0.02224
2020-06-18,134.919998,139.339996,134.5,138.389999,137.029434,2416200.0,2416200.0,3.47,2.572,137.41,"June 18, 20",0.02572
2020-06-17,136.710007,137.399994,134.869995,135.660004,134.326279,1214400.0,1214400.0,-1.05,-0.768,135.97666,"June 17, 20",-0.00768
2020-06-16,138.149994,139.369995,133.0,135.539993,134.207458,1651800.0,1651800.0,-2.61,-1.889,135.97,"June 16, 20",-0.01889
2020-06-15,128.419998,134.630005,127.290001,133.679993,132.365738,1835300.0,1835300.0,5.26,4.096,131.86667,"June 15, 20",0.04096
2020-06-12,134.589996,135.0,129.139999,132.720001,131.415192,2271700.0,2271700.0,-1.87,-1.389,132.28667,"June 12, 20",-0.01389
2020-06-11,133.949997,134.470001,127.809998,128.809998,127.54361,4389300.0,4389300.0,-5.14,-3.837,130.36333,"June 11, 20",-0.03837
2020-06-10,144.0,144.410004,140.320007,140.399994,139.019653,2079600.0,2079600.0,-3.60001,-2.5,141.71,"June 10, 20",-0.025
2020-06-09,145.880005,145.929993,142.100006,144.690002,143.267502,2253100.0,2253100.0,-1.19,-0.816,144.24,"June 09, 20",-0.00816
2020-06-08,144.940002,149.990005,144.139999,149.380005,147.911407,2709900.0,2709900.0,4.44,3.063,147.83667,"June 08, 20",0.03063
2020-06-05,143.0,145.770004,142.0,142.210007,140.811905,3583900.0,3583900.0,-0.78999,-0.552,143.32667,"June 05, 20",-0.00552
2020-06-04,137.300003,139.25,135.649994,139.210007,137.841385,2001300.0,2001300.0,1.91,1.391,138.03667,"June 04, 20",0.01391
2020-06-03,137.0,139.880005,136.529999,138.080002,136.722473,2728800.0,2728800.0,1.08,0.788,138.16334,"June 03, 20",0.00788
2020-06-02,130.830002,134.589996,130.710007,134.199997,132.88063,2522000.0,2522000.0,3.36999,2.576,133.16667,"June 02, 20",0.02576
2020-06-01,129.050003,130.460007,127.459999,129.710007,128.434784,1990300.0,1990300.0,0.66,0.511,129.21,"June 01, 20",0.00511
2020-05-29,130.190002,130.889999,126.440002,130.559998,129.276413,3410100.0,3410100.0,0.37,0.284,129.29667,"May 29, 20",0.00284
2020-05-28,131.0,133.910004,129.300003,131.149994,129.860596,3238000.0,3238000.0,0.14999,0.114,131.45333,"May 28, 20",0.00114
2020-05-27,128.0,130.779999,125.5,130.429993,129.147675,3203000.0,3203000.0,2.42999,1.898,128.90333,"May 27, 20",0.01898
2020-05-26,122.989998,126.739998,122.010002,124.809998,123.582947,3823000.0,3823000.0,1.82,1.48,124.52,"May 26, 20",0.0148
2020-05-22,115.75,117.559998,114.919998,117.0,115.849724,2245900.0,2245900.0,1.25,1.08,116.49333,"May 22, 20",0.0108
2020-05-21,116.580002,118.43,115.529999,115.769997,114.631821,1740300.0,1740300.0,-0.81,-0.695,116.57667,"May 21, 20",-0.00695
2020-05-20,116.800003,119.480003,115.830002,117.010002,115.859627,2604100.0,2604100.0,0.21,0.18,117.44,"May 20, 20",0.0018
2020-05-19,119.0,119.400002,114.650002,114.790001,113.661461,2484600.0,2484600.0,-4.21,-3.538,116.28,"May 19, 20",-0.03538
